lang,full_text,processed_text,word_tokens,word_weights,polarity_score
in,"@FOODFESS2 Akuuu. Dulu di deket rumah ada tapi dah lama sebelum covid keknya. Di surabaya ada lagi dimana ya kira"", tbtb kepengen makan lagi karena emang enakkk",akuu deket rumah dah covid keknya surabaya dimana ya tbtb kepengen makan emang enakk ,"['akuu', 'deket', 'rumah', 'dah', 'covid', 'keknya', 'surabaya', 'dimana', 'ya', 'tbtb', 'kepengen', 'makan', 'emang', 'enakk']","[0, '1', '3', '-3', 0, 0, 0, 0, '4', 0, 0, '1', 0, 0]",6
in,"Unusa Diganjar Penghargaan Berkat Kontribusinya pada Pemulihan Pandemi Covid-19 di Jatim. 👇

Universitas Nahdlatul Ulama Surabaya (Unusa) semakin memperkuat reputasinya sebagai kampus… https://t.co/0TXizNo1iv #PendidikanKesehatan #JatimBangkit #rektorunusa via @beritajatimcom",unusa diganjar penghargaan berkat kontribusinya pemulihan pandemi covid 19 jatim universitas nahdlatul ulama surabaya unusa memperkuat reputasinya kampus pendidikankesehatan jatimbangkit rektorunusa via ,"['unusa', 'diganjar', 'penghargaan', 'berkat', 'kontribusinya', 'pemulihan', 'pandemi', 'covid', '19', 'jatim', 'universitas', 'nahdlatul', 'ulama', 'surabaya', 'unusa', 'memperkuat', 'reputasinya', 'kampus', 'pendidikankesehatan', 'jatimbangkit', 'rektorunusa', 'via']","[0, 0, '4', '1', 0, 0, '-5', 0, 0, 0, 0, 0, '3', 0, 0, '3', 0, 0, 0, 0, 0, 0]",6
in,@Khanif_Ssinaldo @sansOnlski @sosmedkeras Semangat semoga sampai pelaminan. Saya juga LDR Jakarta-Surabaya 2th gak pernah ketemu Krn covid. Pertama ketemu langsung di rumahnya besoknya langsung lamaran. Orang tua juga ketemunya pas lamaran.,semangat semoga pelaminan ldr jakarta surabaya 2th gak ketemu krn covid ketemu langsung rumahnya besoknya langsung lamaran orang tua ketemunya pa lamaran ,"['semangat', 'semoga', 'pelaminan', 'ldr', 'jakarta', 'surabaya', '2th', 'gak', 'ketemu', 'krn', 'covid', 'ketemu', 'langsung', 'rumahnya', 'besoknya', 'langsung', 'lamaran', 'orang', 'tua', 'ketemunya', 'pa', 'lamaran']","['4', 0, '4', '-2', 0, 0, 0, 0, '1', 0, 0, '1', '3', 0, 0, '3', 0, 0, '-4', 0, '-5', 0]",5
ja,"【Kernel】学術成果を公開しました。
Seroprevalence of SARS-CoV-2 anti-spike IgG antibody among COVID-19 vaccinated individuals residing in Surabaya, East Java, Indonesia
(著: Mori Yasuko et al.)
https://t.co/hfE09njXr9",kernel seroprevalence of sars cov anti spike igg antibody among covid 19 vaccinated individual residing in surabaya east java indonesia mori yasuko et al ,"['kernel', 'seroprevalence', 'of', 'sars', 'cov', 'anti', 'spike', 'igg', 'antibody', 'among', 'covid', '19', 'vaccinated', 'individual', 'residing', 'in', 'surabaya', 'east', 'java', 'indonesia', 'mori', 'yasuko', 'et', 'al']","[0, 0, 0, 0, 0, '-2', 0, 0, 0, 0, 0, 0, 0, '4', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
in,"@KAI121 Halo Min, ayah saya belum melakukan vaksinasi covid sama sekali dengan usia 50 th. Apakah bisa melakukan perjalanan dengan KAI ke Surabaya?",halo min ayah vaksinasi covid usia 50 th perjalanan kai surabaya ,"['halo', 'min', 'ayah', 'vaksinasi', 'covid', 'usia', '50', 'th', 'perjalanan', 'kai', 'surabaya']","['1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
in,"@KAI121 Halo Min, ayah saya belum melakukan vaksinasi covid dengan usia 50 th. Apakah bisa melakukan perjalanan dengan KAI ke Surabaya?",halo min ayah vaksinasi covid usia 50 th perjalanan kai surabaya ,"['halo', 'min', 'ayah', 'vaksinasi', 'covid', 'usia', '50', 'th', 'perjalanan', 'kai', 'surabaya']","['1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
in,"LN Trans, Beri Solusi Pengiriman Barang dari Surabaya Hingga Labuan Bajo. 👇

Masa pandemi Covid-19 justru membawa keberuntungan bagi usaha rintisan asal Surabaya, yaitu LN Trans. -- Ikuti… https://t.co/KFZMZ1qguN #Teknologi #KomunitasStartup #LNTrans #Showup via @beritajatimcom",ln trans solusi pengiriman barang surabaya labuan bajo pandemi covid 19 membawa keberuntungan usaha rintisan surabaya ln trans ikuti teknologi komunitasstartup lntrans showup via ,"['ln', 'trans', 'solusi', 'pengiriman', 'barang', 'surabaya', 'labuan', 'bajo', 'pandemi', 'covid', '19', 'membawa', 'keberuntungan', 'usaha', 'rintisan', 'surabaya', 'ln', 'trans', 'ikuti', 'teknologi', 'komunitasstartup', 'lntrans', 'showup', 'via']","[0, 0, '3', '-5', 0, 0, 0, 0, '-5', 0, 0, 0, '4', '1', '2', 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
in,"Singkatnya kaami bingung mau ngungsii dimana, karna rumahku yg disidoarjo yg kami kontrakan, yg rumah mbah manah itu masih dikontrak orang, sedang rumah ortuku masih kacau baalau pasca dikontraj orang, mau ke rumah tante di surabaya, ditolak karna kami terpapar covid katanya",singkatnya kaami bingung ngungsii dimana karna rumahku yg disidoarjo yg kontrakan yg rumah mbah manah dikontrak orang rumah ortuku kacau baalau pasca dikontraj orang rumah tante surabaya ditolak karna terpapar covid ,"['singkatnya', 'kaami', 'bingung', 'ngungsii', 'dimana', 'karna', 'rumahku', 'yg', 'disidoarjo', 'yg', 'kontrakan', 'yg', 'rumah', 'mbah', 'manah', 'dikontrak', 'orang', 'rumah', 'ortuku', 'kacau', 'baalau', 'pasca', 'dikontraj', 'orang', 'rumah', 'tante', 'surabaya', 'ditolak', 'karna', 'terpapar', 'covid']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '3', 0, '-2', 0, 0, '3', 0, 0, 0, 0, 0, 0, '3', 0, 0, '-4', 0, 0, 0]",3
in,"kami ke rs besar di surabaya ditolak semuaaa, akhirnya km ke salah satu rs di sidoarjo, disana tiba² dibilang kalo adekku covid harus dirawat, denger itu aku langsung lemes, tanteku yg bingung dan kakakku gabisa diajak cari solusi",r surabaya ditolak semuaa km salah r sidoarjo disana dibilang kalo adekku covid dirawat denger langsung lemes tanteku yg bingung kakakku gabisa diajak cari solusi ,"['r', 'surabaya', 'ditolak', 'semuaa', 'km', 'salah', 'r', 'sidoarjo', 'disana', 'dibilang', 'kalo', 'adekku', 'covid', 'dirawat', 'denger', 'langsung', 'lemes', 'tanteku', 'yg', 'bingung', 'kakakku', 'gabisa', 'diajak', 'cari', 'solusi']","[0, 0, '-4', 0, 0, '-4', 0, 0, 0, 0, 0, 0, 0, 0, '-3', '3', '-3', 0, 0, 0, 0, 0, '1', '-3', '3']",-10
in,Digelarnya kembali gerak jalan Perjuangan Mojokerto Surabaya ini setelah vakum tiga tahun akibat pandemi COVID-19. #publisherstory #beritaanaksurabaya https://t.co/FNCIBlUKG4,digelarnya gerak jalan perjuangan mojokerto surabaya vakum akibat pandemi covid 19 publisherstory beritaanaksurabaya ,"['digelarnya', 'gerak', 'jalan', 'perjuangan', 'mojokerto', 'surabaya', 'vakum', 'akibat', 'pandemi', 'covid', '19', 'publisherstory', 'beritaanaksurabaya']","[0, 0, 0, 0, 0, 0, '-3', '1', '-5', 0, 0, 0, 0]",-7
